id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003
dsac_ns_nguni_00673,droplet,,,druppeltjie,,,ithonsana,iconsana,,,ithontsana,ichatshazana,iqabazana,,,,litfonsana,,,,ithosana,,
dsac_ns_nguni_00674,drought n.,,,droogte,,,isomiso,,,,imbalela,,,,,,somiso,,,,isomiso,,
dsac_ns_nguni_00675,drown,,,verdrink,,,-minza,,,,ukurhaxwa,,,,,,minta,,,,-kghanywa mamanzi,-minza,
dsac_ns_nguni_00676,drowsiness,,,lomerigheid,,,ukozela,,,,ukozela,,,,,,kwetela,,,,ukuyenda,,
dsac_ns_nguni_00677,dry,,,droog,,,-omile,,,,ukoma,,,,,,omile,,,,-omileko,,
dsac_ns_nguni_00678,dry capsule,,,droë kapsel,droë saadhuis,,indumbu,inhlamvu,,,ikhoba,,,,,,ligobolondvo lelomile,,,,isitheloqephe,,
dsac_ns_nguni_00679,dry cell,,,droë sel,,,ilahle,,,,ibhetri,ilahle,,,,,lilahle,,,,iseli elisakghomu,,
dsac_ns_nguni_00680,dry weather,,,droë weer,,,lomisile {izulu},,,,ukubalela,ukoma,komile,,,,lomisile,,,,ukoma,,
dsac_ns_nguni_00681,dual adj.,,,tweeledig,dubbel,,ngakubili,,,,entlantlu-mbini,,,,,,-ngakubili,,,,-ngcenyembili,,
dsac_ns_nguni_00682,dual adj.,dual-purpose,,dubbeldoelig,,,mbaxambili,,,,entlantlu-mbini,,,,,,ndlelambili,,,,-msebenzimbili,,
dsac_ns_nguni_00683,dual sexed,,,tweeslagtig,,,uncukumbili,,,,ebuni bumbaxa,,,,,,ncukumbili,,,,-bulilimbili,,
dsac_ns_nguni_00684,ductile,,,rekbaar,,,-nwebekayo,,,,enwabulukayo,enwebekayo,etwabulukayo,etwebekayo,,,-nwebeka,,,,-bhecenyekako,,
dsac_ns_nguni_00685,dull,,,dof,,,-gqwalile,-phuphile,-phashile,,mfiliba,mbatshileyo,engaqaqambanga,,,,-phuphile,-hhwabile,bhabhukile,,-fipheleko,-thunyileko,
dsac_ns_nguni_00686,dump n.,,,hoop,,,izala,,,,etiphini,izala,,,,,litala,,,,izala,,
dsac_ns_nguni_00687,dump v.,,,weggooi,stort,,-lahla,,,,ukulahla,,,,,,lahla,,,,lahla,,
dsac_ns_nguni_00688,durability,,,duursaamheid,,,inguganaboya,inqokonqoko,,,ukomelela,ukuxhathisa,,,,,bunguganaboya,,,,ibambelelo,ukuqina,
dsac_ns_nguni_00689,dust,,,stof,,,uthuli,,,,uthuli,,,,,,lutfuli,,,,ithuli,,
dsac_ns_nguni_00690,dust mask,,,stofmasker,,,isivikelantuli,isamfonyo {sothuli},,,isigqubuthelo,isigqumathelo,,,,,sifonyo,,,,isifihlabuso sethuli,,
dsac_ns_nguni_00691,dust particle,,,stofdeeltjie,,,inhlayiya yothuli,,,,isuntswana lothuli,,,,,,tinhlayiya telutfuli,,,,iliqana lethuli,,
dsac_ns_nguni_00692,dust storm,,,stofstorm,,,isiphepho,,,,isaqhwithi,,,,,,sivunguvungu,,,,isiwuruwuru,,
dsac_ns_nguni_00693,dye n.,,,kleurstof,,,isiguqulambala,udayi,,,idayi,,,,,,siphendvulambala,idayi,,,isitjhugululimbala,idayi,
dsac_ns_nguni_00694,dynamo,,,dinamo,,,isiphehligesi,,,,umatshini wokwenza umbane,,,,,,idayinamo,,,,idayinamo,isiphehlamlilo,
dsac_ns_nguni_00695,eagle,,,arend,,,ukhozi,,,,ukhozi,,,,,,ingculungculu,,,,ikhozi,ukholo,
