id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,tsn__001,tsn__002,tsn__003,nso__001,nso__002,nso__003,nso__004,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,ven__004,ven__005,tso__001,tso__002,tso__003,tso__004
dsac_multi_math_00065,August,,,,Augustus,,,,uNcwaba,u-Agasti,,,u-Agasti,eyeThupha,,,,iNgci,Agasti,,,,Arhostosi,Urhoboyi,,Phatwe,,,Agostose,,,,Phato,,,Ṱhangule,,,,,Mhawuri,,,
dsac_multi_math_00066,automatic teller machine,auto teller,,,outomatiese tellermasjien,outomatiese kassier,,,umshini wemali,,,,umatshini wemali ozitshintshayo,,,,,umshinibhange,umshinimali,,,,umtjhini wemali ozilawulako,,,sebalamadi-itirisi,,,motšhene wa tšhelete wa go itiriša,,,,othothela,,,mutshini wa tshelede,othothela,,,,muchini wa bangi wo nyika mali,,,
dsac_multi_math_00067,average,mean,,,gemiddelde,,,,isilinganiso esiphakathi nendawo,,,,umndilili,i-avereji,phakathi,,,sibalokhatsi,silinganisokhatsi,i-avareji,,,i-avareji,,,palogare,,,palogare,,,,palohare,,,mbalotshikati,,,,,nhlayo-xikarhi,mini,,
dsac_multi_math_00068,average price,,,,gemiddelde prys,,,,intengo elingene,,,,ixabiso lomndilili,ixabiso eliphakathi,ixabiso elingumndilili,,,intsengosilinganiso,intsengokhatsi,intsengo ye-avareji,,,intengo elingeneko,intengo eyi-avareji,,tlhotlhwagare,,,theko ya magareng,preisi ya magareng,,,theko e bohareng,theko e lekaneng,,mutengotshikati,,,,,nxaviso-xikarhi,,,
dsac_multi_math_00069,axis,,,,as,,,,inkabamudwa,,,,umngca ohamba embindini,,,,,sijubamkhatsi,i-eksisi,,,,i-eksisi,,,molagare,,,mothalogare,,,,molahare,,,mutalokhethekanyi,ekisisi,,,,ekizisi,,,
dsac_multi_math_00070,back <preposition> {space and position},,,,agter,,,,emuva,ngemuva,,,emva,,,,,ngemuva,,,,,ngemuva,,,morago,,,morago,,,,ka morao,,,u humela kha,,,,,ndzhaku,,,
dsac_multi_math_00071,backwards,,,,agteruit,terugwaarts,,,nyovane,,,,ngasemva,,,,,emuva,,,,,sinyeva,emuva,,kwa morago,,,ka sa morago,,,,ho kgutlela morao,,,-yela murahu,,,,,xindzhakundzhaku,,,
dsac_multi_math_00072,baker’s dozen,,,,boeredosyn,,,,ishumi nantathu,,,,ishumi elinesithathu,,,,,lishumi nakutsatfu,,,,,idazeni nakunye,idoseni lombhagi,,tosene ya ralebaka,,,lesometharo,,,,tosene ya sebaki,,,fumi na ntharu,fumiraru,,,,dazeni ya khume-nharhu,,,
dsac_multi_math_00073,balance v.,,,,balanseer,in ewewig wees of hou,,,linganisa,,,,linganisa,ukulungelelanisa,,,,simamisa,bhalansisa,,,,linganisa,,,lekanya,,,lekalekanya,,,,lekalekanya,,,-linganyisa,-eḓanyisa,,,,ringanisa,,,
dsac_multi_math_00074,balance scale,,,,weegskaal,skaal,,,isilinganisi,isikali,,,isikeyile sokulinganisa,isikali sokulungelelanisa,,,,sikalo sekubhalansisa,,,,,isikali sokulinganisa,,,sekalatekano,sekalaboima,,sekala sa go lekalekanya,,,,sekala sa ho lekalekanya,,,tshikalo ndinganyiso,tshikalo tsha u eḓanyisa,,,,xikalo xa ndzinganiso,,,
