id,eng__001,eng__002,afr__001,afr__002,afr__003,xho__001,xho__002,xho__003,ssw__001,ssw__002,ssw__003,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,Tshivenda__-,nso__002,sot__-,nso__003,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003
dsac_multi_engine_00409,wane {defective edge in timber},,wankant,,,isihlava kwiplanga,,,incenye yelipulango lelingakabatwa,,,ingcenye yeplanka engakabazeki,ingcenye yeplanka enamaqolo,,,ketlogolosi,,,bosodi,,,,,vhadzi ḽa bulannga,,,,xivatipulangi,,
dsac_multi_engine_00410,waste pipe {plumbing},,vuilwaterpyp,morspyp,,umbhobho wamanzi angcolileyo,,,liphayiphi lemanti langcolile,,,iphayiphi lamanzi asilaphazekileko,,,,peipi ya digweregwere,,,phaephekelelatšhila,,,,,phaiphi ya malaṱwa,,,,phayiphimatithyaka,,
dsac_multi_engine_00411,waste-water engineering,,afvalwateringenieurswese,,,ubunjineli ngezamanzi,,,bunjiniyela betemanti langcolile,,,ubunjiniyere bamanzi asilaphazekileko,,,,boenjere jwa kgeleloleswe,,,boentšenerekelelotšhila,,,,,vhuinzhiniara ha zwa vhusefamalaṱwa,,,,vunjhiniyara bya swa nkululo,,
dsac_multi_engine_00412,water seal,,waterslot,,,isithintelikunuka esingamanzi,,,sivimbeliphunga,,,amanzi asivimbelimnuko,amanzi asikhandelimnuko,,,sekabo sa metsi,,,meetsesethibamoya,,,,,maḓitshithivhelamunukho,,,,xipfalamati,,
dsac_multi_engine_00413,water supply system,,watertoevoerstelsel,,,inkqubo yohanjisomanzi,,,luhleloluphakelomanti,,,irherho lokusatjalaliswa kwamanzi,,,,matlhatlhaganyane a tlamelo ya metsi,,,tshepetšokabomeetse,,,,,sisiṱeme ya nḓisedzamaḓi,,,,sisitememphakelamati,,
dsac_multi_engine_00414,weep hole {drainage},,syfergat,,,umngxuma wokukhupha amanzi,,,umgodzisimunyimanti,umgodzisihambisimanti,umgodzisidvonsimanti,umgodisimunyi,,,,phatlana,,,moselana,,,,,nzanyo ya maḓi,,,,xiphohlisamati,,
dsac_multi_engine_00415,window buck,window box,kosynkoker,,,udonga lwefestile oluyibhokisi,,,lifremunchanti lelifasitelo,,,ibhoksi lefesidere,,,,kgatlha ya letlhabaphefo,,,sekgalaforeimi,,,,,nyologwane ya fasiṱere,,,,bokisi ra fasitere,,
dsac_multi_engine_00416,window frame,,vensterkosyn,,,umgubasi wefestile,,,lifremu lelifasitelo,,,ifreyimu lefesidere,,,,kgatlha ya letlhabaphefo,,,foreimilefasetere,,,,,muhanga wa fasiṱere,,,,rimbafasitere,,
dsac_multi_engine_00417,window sash,,vensterraam,skuifruim,,isinyusisithobi sefestile,,,kugudluka kwelifasitelo,kusundvuka kwelifasitelo,kuphakama kwelifasitelo,ingcenye evulekako yefesidere,,,,setheletsane,,,lefaseteretheledi,,,,,seshe ya fasiṱere,,,,xiphemufasitere xo pfula,,
dsac_multi_engine_00418,wired glass,wire glass,draadglas,,,iglasi eneengcingo,,,liglazimawayela,,,irhalasi elineendrada,,,,galasethale,,,galasethale,,galasemetato,,,ngilasi ya ṱhalendukwa,,,,nghilaziswisefana,,
dsac_multi_engine_00419,wire nut,,kabelkassie,kabelkas,kabelmof,isigqumingcingo,,,sihlanganisitintsambo tagezi,,,isihlanganisimikhungo,,,,mmuruthale,,,sekopanyamathale,,sekopanyametato,,,tshiṱumaṱhale,,,,pulasitikinkhomanisatintambu,,
dsac_multi_engine_00420,wonderboard,,wonderboard,,,iwandabhodi,,,sicabati sasemende,iwandabhodi,,iwandabhodi,,,,sesetlegathaele,,,sethekgathaele,,,,,bodo ya khonkhirithi,wandabodo,,,wandabodo,,
dsac_multi_engine_00421,zone valve,,soneklep,,,ivalvu yolawuloqondo lobushushu,ivalvu yolawulokuhamba kwamanzi,,ivelfu yekulawula kushisa,,,ivelfu elisilawulizingakutjhisa,,,,velofo ya zounu,,,selaolakelelo,,,,,veḽuvuyapo,,,,vhaluvhu-lawula-nkhuluko,,
dsac_multi_engine_00422,zoning {town planning},,sonering,,,ucandoziza,,,luhlelodolobha,kwehlukanisa tindzawo,umklamondzawo,ukusikwa kwendawo ngokukamasipala,ukutlanywa kwedorobho,,,karoganyetsofelo,,,karoganyoditsha,,,,,mbekanyavhupo,,,,avanisandhawu,ku zona,
