"eng__001","eng__002","eng__003","eng__004","afr__001","afr__002","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","nso__004","nso__005","nso__006","sot__001","sot__002","sot__003","sot__004","sot__005","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002"
"Confederation of Southern African Football Associations","COSAFA","","","COSAFA","Sokkerverenigingskonfederasie van Suider-Afrika","i-COSAFA","uMfelandawonye Wezinhlangano Zikanobhutshuzwayo ZaseNingizimu Ne-Afrika","","iCOSAFA","iMbumba yeMibutho yaMazantsi Afrika yeBhola eKhatywayo","","","i-COSAFA","Inhlangano Yelibhola Letinyawo e-Afrika LeseNingizimu","","","i-COSAFA","IHlangano yeBholo eRarhwako yamaZwe we-Afrika eseSewula","","","COSAFA","Mokgatlho wa Kgwele ya Dinao wa Borwa jwa Aforika","","","COSAFA","Lekgotlataolo la Mokgatlo wa Kgwele ya maoto ya Borwa bja Afrika","","","","","COSAFA","Mokgatlo wa Bolaodi ba Bolo Dinaheng tsa Aforika e ka Borwa","","","","COSAFA","Ṱhanganelano ya Madzangano a Bola ya Milenzhe a Tshipembe ha Afrika","","","COSAFA","Nhlangano wa Bolo wa Dzonga wa Afrika"
"corner arc","arc of a circle","","","hoekboog","","indawo yokubeka ikhona","","","indawo yokukhabela ikona","","","","indzawo yekukhahlela ikhona","indzawo yekususa ikhona","","","igobela lehugu","","","","mothalo wa sekhutlo sa lebala","mola wa sekhutlo sa lebala","","","mothalosekabora wa sekhutlong","","","","","","lekekema la sekgutlo","huku","","","","mutalo wa khuḓa","","","","ndzhawu ya khona","ndzhawu ya huku"
"corner flag","corner flag post","","","hoekvlag","","iduku lekhona","ifulegi lekhona","","iflegi yasekoneni","","","","umbhelebhele welikhona","","","","iflarha lehugu","","","","folaga ya sekhutlo","","","","folaga ya sekhutlong","","","","","","folakga ya sekgutlo","folakga ya huku","","","","fuḽaga ya khuḓa","","","","mujeko wa khona","mujeko wa huku"
"corner kick","","","","hoekskop","","ikhona","","","ikona","","","","ikhona","ikhonakhikhi","","","ikhona","ukurarha egobeleni","ihuku","","sekhutlo","","","","khutla","sekhutlo","khona","","","","huku","sekgutlo","","","","khona","thaho ya khuḓa","","","khona","huku"
"counterattack n.","","","","teenaanval","","impindiselakuhlasela","","","ukuhlasela ngokuqubula","","","","kuhlasela ngekuphundlukela","","","","isahlelo lokuzibuyiselela","","","","tlhaseloipusolosetso","","","","go hlasela ka morago ga tlhaselo","tlhaselotlhaselong","","","","","ho boya sekwele","ho ya mabotsela","","","","u ṱasela nga murahu ha u ṱaselwa","","","","nhlaselotlheriselo",""
"cramp","","","","kramp","","ijaqamba","","","inkantsi","inkwalithethe","ikrempu","ikrampu","imfinyezi","emajacamba","","","imbodongwana","ikrempe","","","kgogegomesifa","kerempe","","","namanakhunyelo","namanakhunyedi","kerempe","","","","kerempe","","","","","krempe","khwethedzi","","","kirempe",""
"create space","run off the ball","","","'n gaping skep","'n spasie skep","ukuvula isikhala","","","ukuvula ikroba","ukuvula isithuba","","","vula sikhala","","","","-vula","","","","bula","","","","bula","","","","","","bula","kgea","","","","u vula tshikhala","","","","pfula xivandla",""
"cross n.","","","","dwarsskopaangee","dwarsskop","ibhola elivundlayo","","","ukukhrosa","ukuhlasela ngokuxwesisa ibhola","","","kugoba","","","","umvundlo","","","","kobo {kobo}","khoroso","kgabagantsho","","koba","","","","","","phethiso","tshediso","","","","khuroso","u govha","","","khiroso","nghovo"
"crossbar","","","","dwarsbalk","dwarslat","ipali elivundlile","","","ipali enqumlezileyo","","","","lipali lelivundlile","lipali lelisetulu","","","ipali elivundlileko","","","","palekgabaganyo","kotakgabaganyo","","","pala ya ka godimo","","","","","","marulelo a mekwallo","","","","","pala ya nga nṱha","","","","pala ya le henhla",""
"crossfield pass","","","","dwarsveldaangee","","ukuvundlisa ibhola","","","ukupasa ibhola ngokuyixwesisa ibala","ukutshintsha ibala","","","kuvundlisa ibhola","","","","ukudlulisa ngokuqamula","","","","thagokgabaganyo","","","","thago ya go putla","thago ya go ngaya lepatlelo","","","","","thaho e paroletsang","","","","","bola i buḓaho","","","","ntsemakanyiso wa bolo",""
