id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,nso__007,nso__008,sot__001,sot__002,sot__003,sot__004
dsac_ns_sotho_00171,blood cell,,,bloedsel,,,sele ya madi,,,,selemadi,,,,,,,,sele ya madi,,,
dsac_ns_sotho_00172,blood flow,,,bloedvloei,,,kelelomadi,,,,kelelomadi,,,,,,,,phallo ya madi,,,
dsac_ns_sotho_00173,bloodstream,,,bloedstroom,,,moelamadi,,,,kelelomadi,,,,,,,,phallo ya madi,,,
dsac_ns_sotho_00174,blood vessel,,,bloedvat,,,tshika,,,,tšhika,,,,,,,,mothapo wa madi,,,
dsac_ns_sotho_00175,bloom n.,,,blom,,,sethunya,,,,letšoba,leloba,lekhukhuša,,,,,,thungthung,ho palesa,,
dsac_ns_sotho_00176,bloom v.,,,blom,bloei,,thunya,,,,khukhuša,,,,,,,,thunya,,,
dsac_ns_sotho_00177,blossom n.,,,bloeisel,,,tšhese,sethunya,,,makhukhuša,,,,,,,,thungthung,palesa,,
dsac_ns_sotho_00178,blossom v.,,,bloei,,,thunya,,,,thunya,khukhuša,,,,,,,thunya,palesa,,
dsac_ns_sotho_00179,blotting paper,,,kladpapier,,,semonyedi,,,,pampirimomadiela,,,,,,,,pampiri e monyang,,,
dsac_ns_sotho_00180,blow v. {e.g. wind},,,waai,,,foka,,,,tšutla,foka,budula,budulela,butšwetša,,,,foka,,,
dsac_ns_sotho_00181,blow off,,,wegwaai,,,tlhotlhora,,,,hlohlorega,thinthega,,,,,,,butswela,fefola,,
dsac_ns_sotho_00182,blubber,,,walvisspek,,,mafura a ditshedimetsing,,,,lebipi,lemipi,,,,,,,blubara,mafura a tlhapi,,
dsac_ns_sotho_00183,blue,,,blou,,,botala,pududu,,,talalerata,,,,,,,,bolou,,,
dsac_ns_sotho_00184,blue-black,,,blouswart,,,bopududuntsho,bopududu jo bo tseneletseng,,,talalerataboso,,,,,,,,bolou bo fifetseng,,,
dsac_ns_sotho_00185,blue wildebeest,,,blouwildebees,,,kgokong,,,,kgokong,,,,,,,,pudumo e putswa,,,
dsac_ns_sotho_00186,blunt nail,,,stomp nael,,,lenala le le borethe,,,,mokobe,lenalakubegi,,,,,,,lenala le nthithi,,,
dsac_ns_sotho_00187,boat,,,boot,,,mokoro,,,,seketswana,,,,,,,,seketswana,,,
dsac_ns_sotho_00188,body,,,liggaam,,,sebele,mmele,,,mmele,,,,,,,,mmele,,,
dsac_ns_sotho_00189,body shape,,,liggaamsvorm,,,popegommele,,,,seemommele,sebopego sa mmele,,,,,,,sebopeho sa mmele,,,
dsac_ns_sotho_00190,body temperature,,,liggaamstemperatuur,,,bogotetsididi ba mmele,themperiêtšha ya mmele,,,themphereitšha ya mmele,phišo ya mmele,,,,,,,themperetjha ya mmele,,,
dsac_ns_sotho_00191,boil,,,kook,,,bedisa,bela,,,bela,,,,,,,,bela,,,
dsac_ns_sotho_00192,boiled water,,,gekookte water,,,metsi a a bedisitsweng,metsi a a bedileng,,,meetse a a bedišitšwego,meetse a go bedišwa,,,,,,,metsi a bedisitsweng,,,
dsac_ns_sotho_00193,boiling water,,,kokende water,,,metsi a a belang,,,,meetse a a belago,,,,,,,,metsi a belang,,,
dsac_ns_sotho_00194,borehole,,,boorgat,,,sediba,,,,petse,,,,,,,,sediba se tjhekilweng,,,
dsac_ns_sotho_00195,botanist,,,botanis,,,moithutadimela,,,,moithutadimela,setsebadimela,,,,,,,moithutadimela,,,
