id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003,tso__004,tso__005,tso__006,tso__007
dsac_ns_4to6_01690,peach tree,,,perskeboom,,,muberegisi,,,,muperekisi,mupencisi,,,,,
dsac_ns_4to6_01691,peanut,,,grondboon,,,nḓuhu,,,,manga,,,,,,
dsac_ns_4to6_01692,pear,,,peer,,,piere,,,,pyere,,,,,,
dsac_ns_4to6_01693,peck v.,,,pik,,,-khokhonya,,,,jovota,,,,,,
dsac_ns_4to6_01694,pedestal grinder,,,voetstukslyper,,,giraindara ya milenzhe,,,,xisilo,,,,,,
dsac_ns_4to6_01695,peel n.,,,skil,,,ganda,,,,kamba,,,,,,
dsac_ns_4to6_01696,peel v.,,,skil,,,-swotola,,,,vandla,,,,,,
dsac_ns_4to6_01697,pelican,,,pelikaan,,,pheḽikhephe,,,,nyenyana,phelikheni,,,,,
dsac_ns_4to6_01698,pelt,,,pels,,,mukumba,,,,dzovo,,,,,,
dsac_ns_4to6_01699,pen {animals},,,kamp,,,danga,tshitumba,,,xivala,tshanga,,,,,
dsac_ns_4to6_01700,pendulum,,,slinger,pendulum,,phenduḽamu,,,,xidewuli,,,,,,
dsac_ns_4to6_01701,penguin,,,pikkewyn,,,phingini,,,,phingwini,,,,,,
dsac_ns_4to6_01702,perch v. {birds},,,gaan sit,,,-kavha,,,,phatsama,,,,,,
dsac_ns_4to6_01703,permanent,,,permanent,,,tshoṱhe,,,,xa nkarhi hinkwawo,,,,,,
dsac_ns_4to6_01704,perspex <trademark>,,,perspex,,,phesphekisi,,,,phesiphekisi,,,,,,
dsac_ns_4to6_01705,perspiration,,,sweet,,,biko,,,,nyuku,,,,,,
dsac_ns_4to6_01706,perspire v.,,,sweet,,,-bva biko,,,,dzuka,badhla,,,,,
dsac_ns_4to6_01707,pest,,,pes,,,tshiḽi,,,,xihesi,,,,,,
dsac_ns_4to6_01708,pesticide,,,pesdoder,,,tshivhulahi,mulimo,,,mfafazelo,ndlhaya-switsotswana,,,,,
dsac_ns_4to6_01709,pestilence,,,pestilensie,,,dwadze,,,,ntungu,,,,,,
dsac_ns_4to6_01710,pet,,,troeteldier,,,tshifuwomvumvusi,tshifuwo tshi mvumvusaho,,,xifuwana,,,,,,
dsac_ns_4to6_01711,petal,,,kroonblaar,,,phethaḽa,,,,phetali,,,,,,
dsac_ns_4to6_01712,petiole,,,blaarstingel,,,phethiole,,,,mpoti,ritoko,,,,,
dsac_ns_4to6_01713,petrol,,,petrol,brandstof,,piṱirolo,,,,petirolo,,,,,,
dsac_ns_4to6_01714,petrol pump,,,petrolpomp,,,bommbo ya piṱirolo,,,,pompo ya petirolo,,,,,,
dsac_ns_4to6_01715,pharmacy,chemist,,apteek,,,khemisi,,,,khemisi,,,,,,
dsac_ns_4to6_01716,phenol formaldehyde resin,,,fenolformaldehied,,,ṋonzhe ya fenoḽo fomaḽadihaidi,,,,rhezini ya fomalidihayidi ya fenolo,,,,,,
dsac_ns_4to6_01717,phosphate,,,fosfaat,,,fosfeithi,,,,fosifeyiti,,,,,,
dsac_ns_4to6_01718,phosphorus,,,fosfor,,,fosforasi,,,,fosiforasi,,,,,,
dsac_ns_4to6_01719,photograph,,,foto,,,tshinepe,tshifanyiso,,,xifaniso,xinepe,,,,,
dsac_ns_4to6_01720,photosynthesis,,,fotosintese,,,fothosinthyesisi,,,,fotosintesisi,,,,,,
dsac_ns_4to6_01721,physical,,,fisiek,,,muvhili,,,,xivumbeko,,,,,,
dsac_ns_4to6_01722,physical {physics},,,fisies,,,fisikhaḽa,,,,swa fizikali,,,,,,
dsac_ns_4to6_01723,physical development,,,fisieke ontwikkeling,,,nyaluwo ya muvhili,,,,ku kula ka miri,,,,,,
dsac_ns_4to6_01724,physical science,,,natuurkunde,fisika,,saintsi ya fisikhala,,,,fizikali sayense,,,,,,
dsac_ns_4to6_01725,physics,,,fisika,,,fiziks,,,,fizika,,,,,,
dsac_ns_4to6_01726,picture,,,prent,,,tshifanyiso,,,,xifaniso,,,,,,
dsac_ns_4to6_01727,pie chart,,,sektorkaart,,,phaitshati,,,,chati ya xirhendzevutana,,,,,,
dsac_ns_4to6_01728,pig,swine,,vark,,,nguluvhe,,,,nguluve,honci,,,,,
dsac_ns_4to6_01729,pigeon,,,posduif,,,ḽiivha,,,,tuva,,,,,,
dsac_ns_4to6_01730,pigment,,,pigment,,,tshiṋeavala,,,,xivanga-mavala,,,,,,
dsac_ns_4to6_01731,pilchard,,,sardyn,,,phiḽitshadi,,,,ndzungula,ndhungula,nhlampfi,,,,
dsac_ns_4to6_01732,pilot,,,loods,,,mutshimbidzabufho,mufhufhisa bufho,,,muhahisi,,,,,,
dsac_ns_4to6_01733,pin n.,,,speld,,,phini,,,,xipereta,phini,,,,,
dsac_ns_4to6_01734,pin v.,,,speld,,,-phini,,,,peretela,,,,,,
dsac_ns_4to6_01735,pine,,,den,,,bulannga,bulannga ḽa mupaini,,,muphayi,,,,,,
dsac_ns_4to6_01736,pinion,,,kleinrat,,,phinioni,,,,phiniyoni,,,,,,
dsac_ns_4to6_01737,pink,,,pienk,,,pinki,,,,pinki,,,,,,
dsac_ns_4to6_01738,pipe,,,pyp,,,phaiphi,,,,phayiphi,pompi,,,,,
dsac_ns_4to6_01739,pipette,,,pipet,,,pipethe,,,,phiphete,,,,,,
dsac_ns_4to6_01740,piston,,,suier,,,phistini,,,,pisitili,,,,,,
dsac_ns_4to6_01741,pivot,,,spil,,,mumonelo,,,,xikiringo,,,,,,
dsac_ns_4to6_01742,placenta,,,plasenta,,,mutsheka,,,,muchaga,muchana,,,,,
dsac_ns_4to6_01743,plague,,,plaag,,,dwadze,,,,ntungu,,,,,,
dsac_ns_4to6_01744,plane n. {surface},,,vlak,,,tswavhelele,,,,riandlalo,,,,,,
dsac_ns_4to6_01745,plane v.,,,skaaf,afvlak,,-vhaḓedzela,-kafa,,,vatla,feyila,,,,,
dsac_ns_4to6_01746,plane n. {tool},,,skaaf,,,kafa,,,,mbatlo,feyila,puleyini,puleni,,,
dsac_ns_4to6_01747,planet,,,planeet,,,pḽanethe,,,,pulanete,,,,,,
dsac_ns_4to6_01748,planing machine,planer,,skaafmasjien,,,mutshini wa u kafa,,,,muchini wo feyila,muchini wo vatla,,,,,
dsac_ns_4to6_01749,plank,,,plank,,,bulannga,,,,pulanga,,,,,,
dsac_ns_4to6_01750,plant n.,,,plant,,,tshimela,,,,ximilana,,,,,,
dsac_ns_4to6_01751,plant v.,,,plant,,,-ṱavha,-gobela,-sima,,ku byala,,,,,,
dsac_ns_4to6_01752,plantation,,,plantasie,,,tsimu ya zwiliṅwa,,,,nsimu,xihlahla,,,,,
dsac_ns_4to6_01753,plantation,,,plantasie,,,tsiṅwa,,,,mirhi,,,,,,
dsac_ns_4to6_01754,plant life,,,plantegroei,plantlewe,,vhutshilo ha zwimela,,,,swimila swa ndhawu,,,,,,
dsac_ns_4to6_01755,plant material,plant matter,,plantaardige materiaal,plantmateriaal,,khwakhwa,,,,swibori swa swimilana,,,,,,
dsac_ns_4to6_01756,plant type,,,plantsoort,,,lushaka lwa zwimela,,,,muxaka wa swimilana,,,,,,
dsac_ns_4to6_01757,plastic n.,,,plastiek,,,pḽasiṱiki,,,,pulasitiki,,,,,,
dsac_ns_4to6_01758,Plasticine <trademark>,plasticine,,Plasticine,,,puḽasiteini,vumba,,,pulasitisini,vumba,,,,,
dsac_ns_4to6_01759,plastics,,,plastiekvervaardiging,plastiekbedryf,,pḽasiṱiki,,,,vuendli,vuendla-tipulasitiki,,,,,
dsac_ns_4to6_01760,plate,,,plaat,,,baphathi,,,,puleti,,,,,,
dsac_ns_4to6_01761,plating,,,platering,,,tsimbiḓodzwa,,,,mphutselo,,,,,,
dsac_ns_4to6_01762,pliable adj.,,,buigsaam,,,-khotheaho,,,,xo olova ku khotseka,,,,,,
dsac_ns_4to6_01763,pliers,,,tang,,,phḽairi,,,,pulayere,,,,,,
dsac_ns_4to6_01764,plough n.,,,ploeg,,,dzembe,,,,puluho,xikomu,,,,,
dsac_ns_4to6_01765,plough v.,,,ploeg,,,-lima,,,,rima,puluha,,,,,
dsac_ns_4to6_01766,plover,kiewiet,,kiewiet,,,pḽova,,,,gumba,nyenyana-ribuwa,,,,,
dsac_ns_4to6_01767,plug,,,kontakprop,,,puḽaka,,,,pulaga,,,,,,
dsac_ns_4to6_01768,plumage,,,vere,pluimasie,,mithenga,,,,tinsiva,,,,,,
dsac_ns_4to6_01769,plume,,,pluim,,,mutomba,,,,risiva,,,,,,
dsac_ns_4to6_01770,plumule {plants},,,pluimpie,,,mithenga,,,,ndzhombho,mbilu,,,,,
dsac_ns_4to6_01771,plumule {birds},,,donsie,donsveertjie,,phuḽumuḽu,,,,tinsiva,vutsenga,,,,,
dsac_ns_4to6_01772,plunger,,,suier,,,phuḽanzha,,,,xiphemu xa xitlhaveti,pompo ya sirinji,,,,,
dsac_ns_4to6_01773,plywood,,,laaghout,,,bulannga ḽo ṱanḓekanaho,,,,pulanga,bodo ra pulanga,,,,,
dsac_ns_4to6_01774,pneumatic adj.,,,pneumaties,,,-tsha nyumathiki,,,,xa nyumatiki,,,,,,
dsac_ns_4to6_01775,pneumonia,,,longontsteking,,,nyumonia,vhulwadze ha mafhafhu,,,xitlhavi,nyumoniya,,,,,
dsac_ns_4to6_01776,pod,,,peul,,,ganda,,,,xiphambati,,,,,,
dsac_ns_4to6_01777,poinsettia,,,poinsettia,karlienblom,,phosenshia,,,,ximilana,,,,,,
dsac_ns_4to6_01778,pointed leaf,,,gepunte blaar,,,ṱari ḽa ṱhodzi,,,,kamba,tluka ro tontswa,,,,,
dsac_ns_4to6_01779,pointer n. {of e.g. a compass or a scale},,,wyser,naald,,tshisumbi,,,,xikombo,xikombeti,,,,,
dsac_ns_4to6_01780,poison,,,gif,,,mulimo,,,,chefu,vuxungu,,,,,
dsac_ns_4to6_01781,poison gland {e.g. snakes, scorpions},,,gifklier,,,thanga ya vhuṱungu,,,,nhlarimbya ya vuxungu,nhlarimbya ya chefu,,,,,
dsac_ns_4to6_01782,poisonous adj.,,,giftig,,,-vha na mulimo,,,,xa vuxungu,xa chefu,xa vutsulu,,,,
dsac_ns_4to6_01783,poisonous bait,,,giftige aas,,,vhuanzwo vhu re na mulimo,vhuanzotshifu,,,njovelo wa chefu,xiyengi xa chefu,xiyengi xa vuxungu,,,,
dsac_ns_4to6_01784,poisonous gas,,,giftige gas,gifgas,,gesetshifu,,,,moya wa chefu,gese ya chefu,,,,,
dsac_ns_4to6_01785,polar bear,,,ysbeer,,,tshivhingwi tsha phoḽani,,,,bere,,,,,,
dsac_ns_4to6_01786,polar region,,,poolstreek,,,dzingu ḽa phoḽani,,,,xifundza xa Akitika,xifundza xa Antakitika,,,,,
dsac_ns_4to6_01787,pole {of a magnet},,,pool,,,phouḽu,,,,pholi ya maginete,,,,,,
dsac_ns_4to6_01788,pole {stick},,,paal,,,pala,,,,mhandze,pala,nondzo,,,,
dsac_ns_4to6_01789,pollen,,,stuifmeel,,,muvula,,,,nsindza,,,,,,
dsac_ns_4to6_01790,pollinate v.,,,bestuif,,,-anḓadza muvula,,,,nsindzahato,,,,,,
dsac_ns_4to6_01791,pollinated blossom,,,bestuifde blom,,,dzuvha ḽo shelwaho muvula,,,,xiluva xo sindzahatiwa,,,,,,
dsac_ns_4to6_01792,pollination,,,bestuiwing,,,nyanḓadza muvula,,,,nsindzahato,,,,,,
dsac_ns_4to6_01793,pollute v. {environment},,,besoedel,,,-tshikafhadza,,,,nsilahata,thyakisa,,,,,
dsac_ns_4to6_01794,polluted {e.g. water, air},,,besoedel,,,tshikafhadzwaho,,,,lexi thyakisiweke,,,,,,
dsac_ns_4to6_01795,pollution,,,besoedeling,,,mutshikafhadzo,phoḽusheni,,,nthyakiso,mpfindluso {wa mati},nsilahato,,,,
dsac_ns_4to6_01796,polyester resin,,,poliësterhars,,,ṋonzhe ya phoḽisṱa,,,,rhezini ya pholiyesitara,,,,,,
dsac_ns_4to6_01797,polymer,,,polimeer,,,phoḽima,,,,pholima,,,,,,
dsac_ns_4to6_01798,polymerisation,,,polimerisering,,,phoḽimaraizesheni,,,,vupholima,,,,,,
dsac_ns_4to6_01799,polypropylene,,,polipropileen,,,phoḽiphrophaḽini,,,,pulasitiki ya pholiphurophileni,,,,,,
dsac_ns_4to6_01800,polysaccharide,,,polisakkaried,,,phoḽisakharaidi,,,,pholisakharayidi,,,,,,
dsac_ns_4to6_01801,polystyrene,,,polistireen,,,phoḽisṱarini,,,,pholisiterini,,,,,,
