id,eng__001,eng__002,eng__003,eng__004,eng__005,eng__006,eng__007,eng__008,Sesotho__-,Setswana__-,Syonym__-,Tshivenda__-,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,nde__001,nde__002,nde__003,nde__004,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,nso__007,nso__008,sot__-,sot__001,sot__002,sot__003,sot__004,sot__005,sot__006,sot__007,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,tsn__001,tsn__002,tsn__003,tsn__004,tsn__005,tsn__006,tso__001,tso__002,tso__003,tso__004,tso__005,tso__006,tso__007,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,ven__007,ven__008,ven__009,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,xho__007,xho__008,zul__001,zul__002,zul__003,zul__004,zul__005
dsac_lif_00039,ancient <adj.> {e.g. civilisation},,,,,,,,,,,,antiek,,,,,,-kadeni,-mandulo,,,-bogologolo,-kgale,,,,,,,,maswetso,-holoholo,,,,,,-kwasendvulo,-kwakadzeni,,,,-gologolo,-kgale,-maloba,,,,-khale,,,,,,,-kalekale,-kaleni,,,,,,,,-mandulo,-kudala,,,,,,,okwasemandulo,,,,
dsac_lif_00040,anger,,,,,,,,,,,,woede,gramskap,,,,,itukuthelo,,,,pefelo,,,,,,,,,kgalefo,,,,,,,intfukutselo,kutfukutsela,kukwata,,,tenego,,,,,,nhlundzuko,,,,,,,tsinyuwo,,,,,,,,,umsindo,ukucaphuka,,,,,,,intukuthelo,,,,
dsac_lif_00041,anthropologist,,,,,,,,,,,,antropoloog,,,,,,umfundimasikobantu,i-anthropholojisti,,,moithutaditšhaba,moantheropholotši,,,,,,,,antropholojiste,,,,,,,umfundzibantfu nemasiko,,,,,moithutalotsontho,moantropoloji,,,,,n’wamidavuko,,,,,,,muguda vhathu na mvelele,muatropholodzhi,,,,,,,,ingcali yeanthropholoji,,,,,,,,umcwaningi ngomlandobantu namasiko,,,,
dsac_lif_00042,antihistamine,,,,,,,,,,,,antihistamien,,,,,,i-anthihistamayini,,,,anthihistamaene,,,,,,,,,anthihistamine,,,,,,,i-antihistamayini,,,,,antihistamaene,,,,,,antihisitamayini,,,,,,,anthihistamaini,,,,,,,,,iantihistamini,igwada lesaliso,,,,,,,isidambisihistamini,isinqandihistamini,,,
dsac_lif_00043,anxious,,,,,,,,,,,,angstig,bang,,,,,-tjhisekako,-hlalele evalweni,,,-belaelago,,,,,,,,,-tshwenyeha,-kgathatsehile,,,,,,-shisekako,-khatsatekile,,,,phisega,šwegašwega,,,,,-tshamiseki,-vilela,-langutela ngopfu,-hiseka,,,,-swela mbilu,-fhisea,,,,,,,,-xhalabileyo,,,,,,,,okunexhala,,,,
dsac_lif_00044,apartheid,,,,,,,,,,,,apartheid,,,,,,ibandlululo,i-apartheid,,,pušokgethollo,,,,,,,,,aparteite,puso ya kgethollo,,,,,,lubandlululo,i-apartheid,,,,kgethololo,tlhaolele,,,,,xihlawuhlawu,,,,,,,khethululo,,,,,,,,,ucalu-calulo ngokobuhlanga,,,,,,,,ingcindezelo,ubandlululo,,,
dsac_lif_00045,apologise,,,,,,,,,,,,verskoning vra,verskoning maak,,,,,-colisa,-rabhela,-ncancabeza,,-kgopela tshwarelo,,,,,,,,,-kopa tshwarelo,,,,,,,colisa,,,,,kopatshwarelo,,,,,,ku tisola,ku kombela ndzivalelo,,,,,,humbela pfarelo,u ḓisola,,,,,,,,xolisa,ngxengxeza,,,,,,,ukuxolisa,,,,
dsac_lif_00046,appearance {seem},,,,,,,,,,,,voorkoms,,,,,,ukuqaleka,,,,tebelelego,lebopo,,,,,,,,tjhebahalo,,,,,,,kubukeka,,,,,tebego,,,,,,xivumbeko,mayimekelo,xiyimeko,,,,,mbonalo,,,,,,,,,inkangeleko,imbonakalo,,,,,,,imbukeko,,,,
dsac_lif_00047,appearance {be present},,,,,,,,,,,,verskyning,,,,,,ukuvela,ukubonakala,,,boiponagatšo,ba gona,,,,,,,,boiponahatso,,,,,,,kuchamuka,kuvela,,,,tlhagelelo,,,,,,vukona,,,,,,,u bvelela,u ḓivhonadza,,,,,,,,ukuvela,ukubonakala,,,,,,,ukuvela,,,,
dsac_lif_00048,appreciate,,,,,,,,,,,,waardeer,,,,,,-thokozela,-bukako,,,-leboga,-thabela,,,,,,,,-ananela,,,,,,,bonga,dvumisa,ncoma,,,itumella,lebogela,kgatlhegela,,,,khensa,,,,,,,livhuwa,,,,,,,,,bulela,ncoma,,,,,,,ukubonga,ukutusa,,,
dsac_lif_00049,apprentice,,,,,,,,,,,,vakleerling,nuweling,beginner,,,,umafundana womsebenzi,umfundimsebenzi,i-aphrenthisi,,motataišwa,morutiwa,,,,,,,,morupelwa,,,,,,,umfundzimsebenti,,,,,maithutwane,mokatiswa,,,,,madyondzantirho,,,,,,,mugudiswa,,,,,,,,,umqeqeshwa,,,,,,,,ithwasa,imfunda,,,
dsac_lif_00050,appropriate,,,,,,,,,,,,gepas,geskik,,,,,-faneleko,-lungileko,,,-lebanego,-nepagetšego,,,,,,,,-tshwanela,,,,,,,-emukelekile,-fanelekile,,,,matshwanedi,maleba,,,,,fanela,,,,,,,teaho,fanelaho,,,,,,,,-fanelekileyo,-fanelekile,,,,,,,okufanele,,,,
dsac_lif_00051,appropriate language,,,,,,,,,,,,gepaste taal,geskikte taalgebruik,,,,,ilimi elifaneleko,ilimi elilungileko,,,polelo ye e nepagetšego,,,,,,,,,puo e tshwanelehileng,,,,,,,lulwimi lolwemukelekile,,,,,puomatshwanedi,puomaleba,,,,,ririmi leri faneleke,,,,,,,luambo lwo teaho,,,,,,,,,intetho efanelekileyo,,,,,,,,ulimi olufanele,,,,
dsac_lif_00052,archaeologist,,,,,,,,,,,,argeoloog,,,,,,umphenyindabuko,umphendlindabuko,um-akhiyoloji,,moakhiolotši,,,,,,,,,akheolojiste,,,,,,,umcwaningindzabuko,,,,,moakhioloji,moithutamasalela,,,,,mutivamarhumbi,,,,,,,mugudamasalela,,,,,,,,,ingcali yeakhiyoloji,,,,,,,,umcwaningi wezinto zasemandulo,,,,
dsac_lif_00053,argument {reason},,,,,,,,,,,,redenasie,beredenering,argument,,,,ukukhulumela,ukusekela,,,ngangišano,,,,,,,,,kgang,,,,,,,bufakazi,,,,,ngangisano,phigisano,kganetsano,,,,njhekanjhekisano,,,,,,,ṱhaṱhisano,ṅaṅisano,,,,,,,,ingxoxo,,,,,,,,uvo,umbono,,,
dsac_lif_00054,arm fling {exercising},,,,,,,,,,,,armswaai,,,,,,ukujuguja imikhono,,,,phatlalatša matsogo,,,,,,,,,ho otlolla letsoho,,,,,,,kujikitisa umkhono,,,,,tsamaisoletsogo,,,,,,ku rhendzelexa mavoko,,,,,,,u dzungulusa zwanḓa,,,,,,,,,ukujiwuzisa iingalo,,,,,,,,ukuzithwishila,,,,
dsac_lif_00055,article,,,,,,,,,,,,artikel,,,,,,umtlolondaba,i-athikili,,,sengwalwa,,,,,,,,,atikile,,,,,,,indzaba ephephandzabeni,indzaba ephephabhukwini,i-athikili,,,kgang,athikele,,,,,xitsariwa,,,,,,,ḽianetshelo,atikili,,,,,,,,inqaku,,,,,,,,udaba,umbhalo,,,
dsac_lif_00056,assess,,,,,,,,,,,,takseer,assesseer,beoordeel,,,,-linganisa,-hlola,,,-lekola,,,,,,,,,-lekola,,,,,,,linganisa,hlola,,,,tlhatlhoba,,,,,,hlela,,,,,,,gaganya,ṱhaṱhuvha,,,,,,,,hlola,vavanya,,,,,,,ukuhlola,ukuvivinya,,,
dsac_lif_00057,assessment,,,,,,,,,,,,assessering,taksering,beoordeling,,,,ukulinganisa,ukuhlola,,,tekolo,kelo,,,,,,,,tekolo,,,,,,,kulinganisa,luhlolo,,,,tlhatlhobo,,,,,,mahlelelo,,,,,,,ngaganyo,ṱhaṱhuvho,,,,,,,,uhlolo,uvavanyo,,,,,,,isivivinyo,ukuhlola,,,
dsac_lif_00058,assessment standard,,,,,,,,,,,,assesseringstandaard,,,,,,izinga lokuhlola,,,,maemo a tekolo,maemo a kelo,,,,,,,,maemo a tekanyetso,,,,,,,licophelo lekuhlola,,,,,maemotlhatlhobo,,,,,,mpimo wa mahlelelo,swipimo swa makambelelo,,,,,,maimo a ṱhaṱhuvho,,,,,,,,,umgangatho wokuhlola,,,,,,,,izinga lokuhlola,izinga lesivivinyo,,,
dsac_lif_00059,asthma,,,,,,,,,,,,asma,,,,,,isifuba,,,,asema,bolwetši bja mafahla,,,,,,,,letshweya,asma,,,,,,sifuba,,,,,bolwetsekhupelo,,,,,,asma,,,,,,,phihamela,asima,,,,,,,,isifuba,umbefu,,,,,,,ubefu,isifuba somoya,,,
dsac_lif_00060,astronomer,,,,,,,,,,,,sterrekundige,,,,,,usonkwekwezi,,,,monepanaledi,,,,,,,,,astronoma,,,,,,,somkhatsi,,,,,moithutafaufau,,,,,,mutivatinyeleti,,,,,,,muḓivhazwiedza,muastronomi,mugudazwiedza,,,,,,,usozinkwenkwezi,,,,,,,,umcwaningimkhathi,,,,
dsac_lif_00061,athlete,,,,,,,,,,,,atleet,,,,,,umdlali wama-atletiki,,,,moatlelete,,,,,,,,,atlelete,,,,,,,umdlali,,,,,moatlelete,motabogi,,,,,n'wamatsambu,xitsutsumi,,,,,,mutambi,,,,,,,,,umkhuphisani kwezemidlalo,iathlethi,,,,,,,umdlali,,,,
